Aux1,Aux2,Aux3,Aux4,Aux5,Aux6
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,516,1032
516,512,8,516,516,1032
516,512,8,516,516,1032
512,516,8,512,520,1032
512,516,4,516,520,1028
512,512,8,516,520,1028
512,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,516,1032
516,512,8,516,516,1032
512,516,8,512,520,1032
512,516,4,516,520,1032
516,512,8,516,520,1032
516,512,8,516,520,1028
516,512,8,516,516,1032
516,512,8,512,520,1032
512,516,8,516,520,1028
512,516,4,520,516,1032
512,516,4,520,516,1032
512,516,4,516,520,1032
516,512,8,516,520,1032
516,512,8,516,520,1032
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
512,516,8,516,520,1028
512,516,4,520,520,1028
512,516,8,516,516,1032
512,512,8,516,520,1032
512,512,8,516,520,1032
516,512,8,516,520,1032
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
512,516,8,516,520,1028
512,516,8,516,520,1028
516,512,4,520,516,1032
512,512,8,516,520,1028
512,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,512,520,1032
516,512,8,512,520,1032
516,512,8,516,516,1032
512,516,8,516,516,1032
512,516,8,516,516,1032
512,516,8,512,520,1032
512,516,8,512,520,1032
512,516,4,516,520,1028
512,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,516,520,1028
516,512,8,512,520,1032
512,512,8,516,520,1028
512,512,8,516,520,1028
516,512,8,516,516,1032
516,512,116,508,520,1032
516,512,112,512,520,1028
516,512,112,512,516,1032
516,512,108,448,520,1028
516,512,108,192,516,1032
512,512,108,124,520,1028
516,512,108,124,520,1028
516,512,108,124,520,1028
516,512,108,124,516,1032
516,512,108,124,516,1032
512,516,108,120,520,1032
512,516,108,120,520,1032
512,512,108,124,520,1028
512,512,108,124,520,1028
516,512,108,124,520,1028
516,512,108,124,516,1032
516,512,108,128,520,1028
516,512,116,320,520,1028
516,512,116,512,520,1028
516,512,116,512,520,1032
512,512,200,512,520,1032
512,512,320,512,520,1032
512,516,316,516,520,1028
512,512,112,512,520,1032
512,512,112,516,520,1028
516,512,116,512,520,1032
512,516,112,516,520,1028
516,512,112,516,520,1032
516,512,112,516,520,1028
516,512,116,516,516,1032
512,516,156,512,520,1032
516,512,272,516,520,1028
512,512,276,516,516,1032
516,512,280,512,520,1032
516,512,296,516,520,1028
516,512,304,516,520,1028
512,516,308,516,520,1032
516,512,328,516,516,1032
516,512,336,516,520,1028
516,512,344,516,520,1028
516,512,352,516,520,1028
512,512,364,512,520,1032
516,512,372,516,520,1028
516,512,376,516,520,1028
512,516,376,512,520,1032
512,512,376,516,520,1028
512,516,376,516,520,1028
512,512,388,516,516,1032
516,512,400,516,520,1028
512,512,408,516,520,1028
516,512,412,516,516,1032
496,512,412,516,520,1028
428,512,412,516,520,1028
500,512,412,516,520,1028
516,512,420,516,516,1032
512,512,428,516,520,1028
516,512,432,516,520,1028
516,516,436,512,520,1032
524,536,436,516,520,1028
524,556,440,512,520,1032
516,504,436,516,520,1028
512,516,436,512,520,1032
512,516,436,512,520,1032
512,512,436,516,520,1028
512,512,436,516,520,1028
516,512,436,508,520,1028
512,512,428,452,520,1028
512,512,412,384,516,1032
516,512,412,460,520,1028
516,516,408,516,520,1028
532,548,408,516,520,1028
536,552,408,516,516,1032
520,544,408,516,520,1032
516,512,412,512,520,1032
516,512,396,520,520,1032
516,516,392,524,520,1028
516,516,400,516,520,1028
568,532,412,516,520,1028
568,532,408,520,516,1032
516,524,408,516,520,1028
520,512,408,520,516,1032
516,512,424,516,520,1028
516,512,428,516,520,1028
520,512,428,516,520,1032
516,516,428,520,516,1032
516,584,428,516,520,1032
516,576,428,516,520,1032
516,508,428,516,520,1028
512,516,428,516,520,1028
516,516,424,520,516,1032
516,516,428,516,520,1028
512,516,428,516,520,1028
516,508,420,520,520,1028
516,504,412,516,520,1032
512,488,412,516,520,1028
512,484,408,516,520,1032
512,512,404,520,516,1032
512,512,404,516,520,1032
516,512,404,516,520,1032
516,512,404,516,520,1032
516,512,404,516,520,1028
516,508,408,516,520,1028
516,508,408,516,520,1032
512,512,404,520,520,1028
512,512,404,520,516,1032
512,512,404,520,516,1032
516,512,408,516,520,1028
516,512,416,516,520,1028
512,512,420,556,520,1032
512,512,416,608,520,1028
512,512,416,608,520,1028
516,512,420,516,520,1032
516,512,424,516,520,1032
512,512,428,516,520,1032
516,508,432,520,516,1032
516,544,432,520,516,1032
516,556,436,516,520,1032
516,556,436,516,520,1032
512,556,436,516,520,1028
512,552,436,516,520,1028
516,544,436,516,520,1028
512,540,436,516,520,1028
512,516,432,520,516,1032
512,512,436,516,520,1032
512,512,436,516,520,1028
516,512,436,516,520,1032
516,512,436,516,520,1028
516,512,420,516,520,1028
516,508,416,520,520,1028
516,480,416,516,520,1028
512,480,416,516,520,1032
516,504,420,516,516,1032
516,508,416,520,516,1032
516,512,416,516,520,1028
512,512,416,516,520,1032
512,512,416,516,520,1032
512,512,416,520,516,1032
516,516,416,516,520,1028
516,512,420,516,520,1028
516,512,416,520,516,1032
516,512,416,516,520,1032
588,516,416,516,520,1028
560,512,416,516,520,1028
516,512,420,516,516,1032
516,512,416,524,520,1028
516,512,416,568,516,1032
516,512,416,560,520,1032
516,516,412,520,520,1032
516,512,416,520,520,1028
516,512,416,520,520,1028
508,512,416,516,520,1028
444,512,416,516,520,1032
460,512,416,516,520,1032
512,512,420,516,520,1028
516,512,416,516,520,1028
512,512,416,520,516,1032
516,512,420,516,520,1032
512,512,440,516,520,1028
512,512,440,516,520,1028
512,512,440,516,520,1028
512,512,440,516,520,1028
516,512,440,516,520,1028
516,512,440,516,520,1028
516,516,436,520,516,1032
516,528,436,520,516,1032
524,556,436,516,520,1032
512,548,440,516,520,1028
516,516,436,520,516,1032
516,512,440,516,520,1032
516,516,440,516,520,1032
608,520,436,520,516,1032
540,516,440,516,520,1028
520,512,440,516,520,1028
516,516,440,516,520,1028
516,512,440,516,520,1028
472,516,440,516,516,1032
464,512,440,516,520,1028
512,516,436,520,516,1032
516,512,440,516,520,1028
516,516,436,516,520,1032
516,516,400,520,516,1032
516,516,356,520,516,1032
516,516,364,520,520,1028
516,516,380,516,520,1032
516,516,416,516,520,1028
516,512,424,516,520,1032
516,512,424,516,520,1032
516,512,424,516,520,1032
516,512,424,516,520,1032
548,520,420,516,520,1032
572,516,424,516,520,1032
516,516,424,520,516,1032
516,516,420,520,516,1032
516,512,424,516,520,1032
520,512,424,516,520,1028
516,516,432,516,520,1028
516,512,432,520,516,1032
512,512,436,516,520,1028
432,516,432,516,520,1028
496,512,432,516,520,1028
512,512,432,516,520,1028
512,512,432,520,520,1028
516,512,416,584,520,1028
516,512,412,588,520,1028
512,512,416,516,520,1032
512,512,424,516,520,1032
508,512,436,420,520,1032
512,516,412,348,520,1028
516,512,436,492,520,1028
516,516,436,512,520,1032
588,516,436,516,520,1028
548,512,440,512,520,1032
516,508,440,516,520,1028
516,480,436,516,520,1028
512,460,440,516,516,1032
512,460,440,516,520,1028
512,456,440,516,516,1032
516,456,436,516,520,1028
512,460,436,520,516,1032
516,460,436,520,520,1028
512,460,412,584,516,1032
512,464,412,680,520,1032
512,472,412,644,520,1028
516,476,412,528,516,1032
516,512,420,516,520,1028
516,512,420,516,520,1032
516,512,420,516,520,1032
516,516,420,520,516,1032
516,540,424,516,520,1028
516,580,428,516,520,1032
516,576,428,516,520,1028
516,580,424,516,520,1032
516,536,428,516,520,1028
512,512,428,516,520,1028
444,512,428,516,520,1028
368,516,424,520,520,1028
512,512,424,520,516,1032
516,512,424,516,520,1032
520,588,432,516,520,1032
524,652,432,516,520,1032
528,648,436,516,520,1028
516,640,432,520,516,1032
516,508,432,520,516,1032
512,516,432,520,516,1032
512,516,432,516,520,1028
512,468,432,516,520,1028
512,444,436,516,520,1028
516,508,432,516,516,1032
516,512,428,360,520,1028
516,512,432,440,520,1028
516,512,456,512,516,1032
536,512,456,516,520,1028
540,512,460,512,520,1028
516,512,456,512,520,1032
512,512,460,512,520,1032
516,512,456,516,516,1032
564,516,456,516,520,1028
616,528,448,516,520,1032
516,516,428,520,516,1032
516,516,416,516,520,1028
516,516,412,520,516,1032
512,516,416,516,516,1032
516,532,416,516,520,1028
516,604,416,516,520,1028
520,512,416,516,520,1028
496,516,416,516,520,1028
420,516,420,516,520,1028
468,512,424,516,520,1028
512,512,424,516,520,1028
516,512,420,516,520,1032
516,524,420,516,520,1028
516,608,424,516,516,1032
516,536,420,516,520,1032
512,512,424,516,520,1028
516,512,420,516,520,1032
512,516,420,516,520,1028
516,512,424,516,516,1032
512,516,420,516,520,1028
512,516,420,516,520,1032
512,516,420,516,520,1028
516,512,420,520,520,1028
636,544,424,516,516,1032
516,512,424,516,520,1028
520,512,420,520,516,1032
516,532,420,520,516,1032
524,604,424,516,520,1028
524,608,420,516,520,1032
516,608,420,520,516,1032
516,600,420,516,520,1028
516,592,424,516,520,1028
516,588,420,520,516,1032
516,568,420,516,520,1032
516,512,424,516,520,1028
516,512,424,516,520,1028
520,512,420,520,516,1032
516,512,424,516,520,1028
520,512,420,520,516,1032
512,516,420,516,520,1032
516,512,420,520,516,1032
512,504,424,516,520,1028
516,448,424,516,520,1028
512,444,428,512,520,1032
516,476,420,520,516,1032
512,480,420,516,520,1032
512,388,420,516,520,1032
512,372,420,520,516,1032
516,488,420,516,520,1028
512,512,420,520,516,1032
516,508,424,516,520,1028
516,512,420,516,520,1032
516,512,424,516,520,1028
516,512,428,516,520,1028
512,512,436,516,520,1028
516,512,432,516,520,1032
516,512,432,520,516,1032
516,512,436,516,520,1032
536,516,436,516,520,1028
536,512,436,516,520,1028
512,516,432,516,520,1028
516,512,436,516,520,1032
516,512,436,516,520,1032
516,544,440,516,520,1028
516,552,436,520,520,1028
516,512,440,516,520,1032
516,512,448,516,520,1028
516,512,456,520,516,1032
516,516,452,520,516,1032
516,512,460,516,520,1028
516,516,456,516,520,1032
516,516,456,516,520,1032
516,524,456,516,520,1032
516,552,456,516,520,1028
516,552,456,516,516,1032
516,516,452,516,520,1028
516,512,448,516,520,1032
516,516,436,520,516,1032
516,516,436,516,520,1032
540,516,436,520,516,1032
556,512,436,516,520,1032
520,516,436,516,520,1028
516,512,424,520,520,1032
516,512,388,560,520,1028
516,512,384,564,520,1032
512,396,520,520,1028,9548
516,512,408,516,520,1032
500,508,408,516,520,1032
444,512,420,516,520,1032
512,504,420,516,520,1032
512,492,420,516,520,1032
516,432,420,520,516,1032
512,452,420,520,516,1032
512,492,424,516,516,1032
584,516,420,516,520,1028
616,516,420,520,516,1032
536,512,424,516,520,1032
516,512,428,516,520,1032
516,512,428,516,520,1028
516,512,428,516,520,1032
516,512,444,516,520,1028
512,512,448,516,520,1028
476,512,444,516,520,1032
508,512,444,516,520,1028
516,512,444,516,520,1028
516,512,444,516,520,1028
512,512,448,516,520,1028
512,516,444,516,520,1028
512,512,444,520,516,1032
512,512,444,516,520,1032
516,512,444,520,516,1032
516,512,444,516,520,1032
516,512,444,516,520,1028
516,512,444,516,520,1028
516,516,444,516,520,1028
516,572,448,512,520,1032
516,572,444,516,520,1028
516,512,440,520,520,1028
516,512,444,516,520,1028
512,512,420,520,516,1032
516,512,412,520,516,1032
512,500,416,516,520,1028
516,464,416,516,520,1028
516,472,412,520,516,1032
516,512,416,516,520,1028
516,512,416,516,520,1028
516,512,416,516,516,1032
516,512,416,516,520,1028
516,512,412,520,516,1032
512,512,416,516,520,1028
512,512,416,512,520,1032
516,512,412,512,520,1028
516,524,416,516,520,1028
636,528,416,516,520,1028
516,512,416,516,520,1028
516,512,428,516,520,1028
512,516,452,516,520,1032
516,516,452,516,520,1028
516,524,456,512,520,1032
516,584,448,520,516,1032
516,580,452,520,516,1032
516,572,452,520,516,1032
516,516,448,520,516,1032
640,516,448,520,516,1032
620,516,452,516,516,1032
512,504,448,516,520,1028
508,492,436,516,520,1028
516,488,432,520,520,1028
516,512,428,516,520,1028
508,512,428,516,520,1028
436,504,432,516,516,1032
512,504,428,516,520,1032
516,512,428,516,520,1028
516,512,428,516,520,1032
516,516,428,516,520,1028
516,512,428,516,520,1032
512,508,428,520,516,1032
512,504,428,516,520,1032
512,508,428,516,520,1028
512,504,428,520,516,1032
516,504,428,512,520,1028
512,512,428,440,520,1028
516,512,428,516,520,1028
516,516,428,516,520,1028
516,576,428,516,520,1028
516,588,432,516,516,1032
516,588,428,516,520,1028
516,584,428,516,520,1028
516,580,428,516,520,1028
516,572,428,516,520,1028
516,524,428,516,520,1028
512,516,428,512,520,1032
512,512,428,516,520,1032
516,512,428,516,520,1028
516,508,428,516,520,1028
512,488,428,516,520,1028
516,448,428,512,520,1032
512,448,428,516,516,1032
512,460,428,516,520,1028
516,512,428,516,520,1028
516,512,428,516,520,1028
516,512,428,516,520,1028
516,512,428,516,520,1028
516,512,428,516,520,1028
524,512,428,516,520,1032
548,524,428,516,516,1032
516,512,428,516,520,1028
512,516,428,512,520,1032
516,516,428,384,520,1032
520,512,432,516,520,1028
516,512,432,516,520,1028
516,512,432,516,520,1028
516,516,428,516,520,1028
516,512,432,516,520,1028
516,516,432,516,520,1028
516,516,428,516,520,1032
516,516,432,516,520,1028
516,512,432,516,520,1032
516,512,432,516,520,1028
516,516,432,516,520,1028
516,512,432,516,520,1028
516,516,432,516,516,1032
516,516,432,516,520,1028
520,512,432,516,520,1028
516,516,432,516,516,1032
516,516,428,516,520,1028
516,516,432,516,516,1032
516,512,432,516,516,1032
516,516,428,520,516,1032
516,516,428,520,516,1032
512,516,432,516,520,1028
516,516,428,520,516,1032
516,512,432,516,520,1028
512,516,432,516,520,1028
516,512,432,520,516,1032
520,512,432,516,520,1028
500,516,428,516,520,1032
468,516,428,516,520,1028
460,512,428,520,516,1032
464,516,428,520,520,1028
508,512,432,516,520,1032
512,512,436,516,520,1028
516,512,460,516,520,1028
512,512,460,520,516,1032
512,512,460,520,516,1032
516,504,460,520,516,1032
